zone,pixel_id,universe,channel,cat_x,cat_y,cat_z,x_norm,y_norm,z_norm
main-arch,146,39,439,-12.3100,8.8694,-2.4300,0.0000,0.4776,0.3797
main-arch,147,39,442,-12.3100,8.7956,-2.4931,0.0000,0.4736,0.3760
main-arch,148,39,445,-12.3100,8.7240,-2.5506,0.0000,0.4697,0.3727
main-arch,149,39,448,-12.3100,8.6636,-2.6129,0.0000,0.4664,0.3691
main-arch,150,39,451,-12.3100,8.5872,-2.6729,0.0000,0.4623,0.3656
main-arch,151,39,454,-12.3100,8.5173,-2.7402,0.0000,0.4585,0.3617
main-arch,152,39,457,-12.3100,8.4394,-2.7983,0.0000,0.4543,0.3583
main-arch,153,39,460,-12.3100,8.3620,-2.8571,0.0000,0.4501,0.3549
main-arch,154,39,463,-12.3100,8.2827,-2.9131,0.0000,0.4458,0.3516
main-arch,155,39,466,-12.3100,8.2050,-2.9714,0.0000,0.4415,0.3482
main-arch,156,39,469,-12.3100,8.1255,-3.0273,0.0000,0.4372,0.3450
main-arch,157,39,472,-12.3100,8.0440,-3.0801,0.0000,0.4328,0.3419
main-arch,158,39,475,-12.3100,7.9608,-3.1303,0.0000,0.4283,0.3390
main-arch,159,39,478,-12.3100,7.8767,-3.1787,0.0000,0.4238,0.3362
main-arch,160,39,481,-12.3100,7.7921,-3.2265,0.0000,0.4192,0.3334
main-arch,161,39,484,-12.3100,7.7071,-3.2736,0.0000,0.4146,0.3306
main-arch,162,39,487,-12.3100,7.6211,-3.3189,0.0000,0.4099,0.3280
main-arch,163,39,490,-12.3100,7.5343,-3.3624,0.0000,0.4052,0.3255
main-arch,164,39,493,-12.3100,7.4454,-3.4015,0.0000,0.4004,0.3232
main-arch,165,39,496,-12.3100,7.3556,-3.4386,0.0000,0.3955,0.3210
main-arch,166,39,499,-12.3100,7.2665,-3.4773,0.0000,0.3907,0.3188
main-arch,167,39,502,-12.3100,7.1753,-3.5109,0.0000,0.3857,0.3168
main-arch,168,39,505,-12.3100,7.0839,-3.5436,0.0000,0.3808,0.3149
main-arch,169,39,508,-12.3100,6.9917,-3.5744,0.0000,0.3758,0.3131
main-arch,170,40,1,-12.3100,6.8987,-3.6025,0.0000,0.3707,0.3115
main-arch,171,40,4,-12.3100,6.8054,-3.6295,0.0000,0.3657,0.3099
main-arch,172,40,7,-12.3100,6.7115,-3.6542,0.0000,0.3606,0.3085
main-arch,173,40,10,-12.3100,6.6161,-3.6728,0.0000,0.3554,0.3074
main-arch,174,40,13,-12.3100,6.5207,-3.6913,0.0000,0.3503,0.3063
main-arch,175,40,16,-12.3100,6.4248,-3.7065,0.0000,0.3451,0.3055
main-arch,176,40,19,-12.3100,6.3286,-3.7204,0.0000,0.3398,0.3047
main-arch,177,40,22,-12.3100,6.2325,-3.7342,0.0000,0.3346,0.3039
main-arch,178,40,25,-12.3100,6.1363,-3.7481,0.0000,0.3294,0.3030
main-arch,179,40,28,-12.3100,6.0394,-3.7518,0.0000,0.3242,0.3028
main-arch,180,40,31,-12.3100,5.9422,-3.7518,0.0000,0.3189,0.3028
main-arch,181,40,34,-12.3100,5.8451,-3.7518,0.0000,0.3136,0.3028
main-arch,182,40,37,-12.3100,5.7479,-3.7518,0.0000,0.3084,0.3028
main-arch,183,40,40,-12.3100,5.6507,-3.7518,0.0000,0.3031,0.3028
main-arch,184,40,43,-12.3100,5.5536,-3.7519,0.0000,0.2978,0.3028
main-arch,185,40,46,-12.3100,5.4564,-3.7519,0.0000,0.2926,0.3028
main-arch,186,40,49,-12.3100,5.3593,-3.7519,0.0000,0.2873,0.3028
main-arch,187,40,52,-12.3100,5.2621,-3.7519,0.0000,0.2820,0.3028
main-arch,188,40,55,-12.3100,5.1649,-3.7519,0.0000,0.2768,0.3028
main-arch,189,40,58,-12.3100,5.0678,-3.7519,0.0000,0.2715,0.3028
main-arch,190,40,61,-12.3100,4.9706,-3.7519,0.0000,0.2662,0.3028
main-arch,191,40,64,-12.3100,4.8734,-3.7519,0.0000,0.2610,0.3028
main-arch,192,40,67,-12.3100,4.7763,-3.7520,0.0000,0.2557,0.3028
main-arch,193,40,70,-12.3100,4.6791,-3.7520,0.0000,0.2504,0.3028
main-arch,194,40,73,-12.3100,4.5820,-3.7520,0.0000,0.2452,0.3028
main-arch,195,40,76,-12.3100,4.4848,-3.7520,0.0000,0.2399,0.3028
main-arch,196,40,79,-12.3100,4.3876,-3.7520,0.0000,0.2347,0.3028
main-arch,197,40,82,-12.3100,4.2905,-3.7520,0.0000,0.2294,0.3028
main-arch,198,40,85,-12.3100,4.1933,-3.7520,0.0000,0.2241,0.3028
main-arch,199,40,88,-12.3100,4.0962,-3.7520,0.0000,0.2189,0.3028
main-arch,200,40,91,-12.3100,3.9990,-3.7521,0.0000,0.2136,0.3028
main-arch,201,40,94,-12.3100,3.9018,-3.7521,0.0000,0.2083,0.3028
main-arch,202,40,97,-12.3100,3.8047,-3.7521,0.0000,0.2031,0.3028
main-arch,203,40,100,-12.3100,3.7075,-3.7521,0.0000,0.1978,0.3028
main-arch,204,40,103,-12.3100,3.6103,-3.7521,0.0000,0.1925,0.3028
main-arch,205,40,106,-12.3100,3.5132,-3.7521,0.0000,0.1873,0.3028
main-arch,206,40,109,-12.3100,3.4160,-3.7521,0.0000,0.1820,0.3028
main-arch,207,40,112,-12.3100,3.3189,-3.7521,0.0000,0.1767,0.3028
main-arch,208,40,115,-12.3100,3.2217,-3.7522,0.0000,0.1715,0.3028
main-arch,209,40,118,-12.3100,3.1245,-3.7522,0.0000,0.1662,0.3028
main-arch,210,40,121,-12.3100,3.0274,-3.7522,0.0000,0.1609,0.3028
main-arch,211,40,124,-12.3100,2.9302,-3.7522,0.0000,0.1557,0.3028
main-arch,212,40,127,-12.3100,2.8330,-3.7522,0.0000,0.1504,0.3028
main-arch,213,40,130,-12.3100,2.7359,-3.7522,0.0000,0.1451,0.3028
main-arch,214,40,133,-12.3100,2.6387,-3.7522,0.0000,0.1399,0.3028
main-arch,215,40,136,-12.3100,2.5416,-3.7522,0.0000,0.1346,0.3028
main-arch,216,40,139,-12.3100,2.4444,-3.7523,0.0000,0.1293,0.3028
main-arch,217,40,142,-12.3100,2.3472,-3.7523,0.0000,0.1241,0.3028
main-arch,218,40,145,-12.3100,2.2501,-3.7523,0.0000,0.1188,0.3028
main-arch,219,40,148,-12.3100,2.1529,-3.7523,0.0000,0.1135,0.3028
main-arch,220,40,151,-12.3100,2.0558,-3.7523,0.0000,0.1083,0.3028
main-arch,221,40,154,-12.3100,1.9586,-3.7523,0.0000,0.1030,0.3028
main-arch,222,40,157,-12.3100,1.8614,-3.7523,0.0000,0.0977,0.3028
main-arch,223,40,160,-12.3100,1.7643,-3.7523,0.0000,0.0925,0.3028
main-arch,224,40,163,-12.3100,1.6671,-3.7524,0.0000,0.0872,0.3028
main-arch,225,40,166,-12.3100,1.5699,-3.7524,0.0000,0.0819,0.3028
main-arch,226,40,169,-12.3100,1.4728,-3.7524,0.0000,0.0767,0.3028
main-arch,227,40,172,-12.3100,1.3756,-3.7524,0.0000,0.0714,0.3028
main-arch,228,40,175,-12.3100,1.2785,-3.7524,0.0000,0.0661,0.3028
main-arch,229,40,178,-12.3100,1.1813,-3.7524,0.0000,0.0609,0.3028
main-arch,230,40,181,-12.3100,1.0841,-3.7524,0.0000,0.0556,0.3028
main-arch,231,40,184,-12.3100,0.9870,-3.7524,0.0000,0.0503,0.3028
main-arch,232,40,187,-12.3100,0.8898,-3.7524,0.0000,0.0451,0.3028
main-arch,233,40,190,-12.3100,0.7926,-3.7525,0.0000,0.0398,0.3028
main-arch,234,40,193,-12.3100,0.6955,-3.7525,0.0000,0.0345,0.3028
main-arch,235,40,196,-12.3100,0.5983,-3.7525,0.0000,0.0293,0.3028
main-arch,236,40,199,-12.3100,0.5012,-3.7525,0.0000,0.0240,0.3028
main-arch,237,40,202,-12.3100,0.4040,-3.7525,0.0000,0.0187,0.3028
main-arch,238,40,205,-12.3100,0.3068,-3.7525,0.0000,0.0135,0.3028
main-arch,239,40,208,-12.3100,0.2097,-3.7525,0.0000,0.0082,0.3028
main-arch,240,41,1,-11.0900,0.2109,2.8274,0.0460,0.0083,0.6855
